Rank,Player,18/19,18/19*
1,Stephen Curry,37457154.00,38320489.00
2,Russell Westbrook,35665000.00,36487029.00
3,LeBron James,35654150.00,36475929.00
3,Chris Paul,35654150.00,36475929.00
5,Kyle Lowry,32700000.00,33453690.00
6,Blake Griffin,31873932.00,32608582.00
7,Gordon Hayward,31214295.00,31933741.00
8,James Harden,30570000.00,31274596.00
9,Paul George,30560700.00,31265082.00
10,Mike Conley,30521115.00,31224584.00
11,Kevin Durant,30000000.00,30691458.00
12,Paul Millsap,29230769.00,29904498.00
13,Al Horford,28928710.00,29595476.00
14,Damian Lillard,27977689.00,28622536.00
15,DeMar DeRozan,27739975.00,28379343.00
16,Chris Bosh,26837720.00,27456292.00
17,Jrue Holiday,26641111.00,27255151.00
18,Otto Porter,26011913.00,26611451.00
19,CJ McCollum,25759766.00,26353493.00
20,Joel Embiid,25467250.00,26054235.00
20,Andrew Wiggins,25467250.00,26054235.00
20,Nikola Jokic,25467250.00,26054235.00
23,Anthony Davis,25434263.00,26020487.00
24,Bradley Beal,25434262.00,26020486.00
24,Andre Drummond,25434262.00,26020486.00
26,Hassan Whiteside,24434262.00,24997438.00
27,Dwight Howard,24256725.00,24815808.00
28,Steven Adams,24157304.00,24714096.00
28,Giannis Antetokounmpo,24157304.00,24714096.00
30,Marc Gasol,24119025.00,24674935.00
30,Kevin Love,24119025.00,24674935.00
32,Harrison Barnes,24107258.00,24662897.00
32,Chandler Parsons,24107258.00,24662897.00
34,Nicolas Batum,24000000.00,24553167.00
35,Rudy Gobert,23491573.00,24033021.00
36,Kawhi Leonard,23114066.00,23646813.00
37,DeAndre Jordan,22897200.00,23424948.00
38,LaMarcus Aldridge,22347015.00,22862082.00
39,Serge Ibaka,21666667.00,22166053.00
40,Aaron Gordon,21590909.00,22088549.00
41,Danilo Gallinari,21587579.00,22085143.00
42,Victor Oladipo,21000000.00,21484021.00
43,Ryan Anderson,20421546.00,20892234.00
44,Joakim Noah,20261172.00,20728164.00
45,Kyrie Irving,20099189.00,20562447.00
46,Jabari Parker,20000000.00,20460972.00
47,Jimmy Butler,19841627.00,20298949.00
48,Zach LaVine,19500000.00,19949448.00
49,Wesley Matthews,19360228.00,19806454.00
50,Allen Crabbe,19332500.00,19778087.00
51,Enes Kanter,19264603.00,19708625.00
52,Tyler Johnson,19245370.00,19688949.00
53,John Wall,19169800.00,19611637.00
54,Jeff Teague,19000000.00,19437923.00
54,George Hill,19000000.00,19437923.00
56,Klay Thompson,18988725.00,19426389.00
57,Goran Dragic,18109175.00,18526566.00
58,Kent Bazemore,18089888.00,18506835.00
59,Evan Turner,17868853.00,18280705.00
60,Draymond Green,17469565.00,17872214.00
60,Tristan Thompson,17469565.00,17872214.00
62,Tim Hardaway Jr,17325000.00,17724317.00
63,Pau Gasol,17133285.00,17528182.00
