player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Precious Achiuwa,achiupr01,2021,1445,683,-4.05862675788523,2.335879091643684,-1.722747666241546,-4.301807886411787,-1.753376279887413,-6.055184166299199,-4.329563916132348,1.589215347510058,-2.74034856862229,.0033766245602349,.0033766245602349,0,-4.172990203309777,1.104969791939848,-3.068020411369929,.402709074703912
Jaylen Adams,adamsja01,2021,41,18,-12.43983208691831,-3.358292069226225,-15.79812415614454,-26.11458213029584,6.95871059793882,-19.15587153235702,-16.17256410725297,-1.521886344965042,-17.69445045221801,-.1347650469553,-.1347650469553,0,-11.84205972597916,-4.196446486183905,-16.03850621216306,-1.822393035154754
Steven Adams,adamsst01,2021,3232,1568,-1.293094840781729,1.859252720372729,.5661578795909998,3.072989425415805,-3.385412746301636,-.3124233208858311,-.4843997586026821,.9166525858152814,.4322528272125993,2.515640478471733,2.515640478471733,0,-.5064433163429518,1.253119507620123,.7466761912771711,-1.194632976019349
Bam Adebayo,adebaba01,2021,3752,1845,-.1009218844768482,1.821378162638293,1.720456278161445,.7435669858499254,1.591337715174892,2.334904701024818,.1217325939749335,1.860873136719002,1.982605730693935,4.447784025219149,4.447784025219149,0,-.097355902285706,1.370061969626903,1.272706067341197,-.1609837531893905
LaMarcus Aldridge,aldrila01,2021,1403,674,-2.774469227699353,-.7682768873509186,-3.542746115050273,-.8039649486708774,-2.521194850030497,-3.325159798701375,-2.533111573948918,-1.17394027885106,-3.707051852799978,-.3193069354023486,-.3193069354023486,0,-2.63192480216395,-.7015018135174391,-3.333426615681389,-.4385954587255641
Nickeil Alexander-Walker,alexani01,2021,1784,851,-1.000593165708584,1.202712418691181,.2021192529825961,-3.488048088257076,1.089855144386637,-2.398192943870439,-1.617874108159277,1.287807133747042,-.3300669744122349,1.05611180897599,1.05611180897599,0,-.7139475233970836,1.097772568513534,.3838250451164508,.5209580034116751
Ty-Shon Alexander,alexaty01,2021,59,29,-2.24955494361098,1.236392715620978,-1.013162227990002,-6.214860871472332,5.831369581664194,-.3834912898081386,-3.270783950929431,2.220487986743688,-1.050295964185742,.0249911021358087,.0249911021358087,0,-3.376367436891924,-1.681489591968038,-5.057857028859962,-.6314320228732149
Grayson Allen,allengr01,2021,2567,1205,.5666696026142704,.8356859061706819,1.402355508784952,-.878234642087777,-.9189527758012063,-1.797187417888983,.2965623678601231,.5033545401104075,.7999169079705305,2.187800292660784,2.187800292660784,0,.5059194709379884,.4015376548242664,.9074571257622548,.2470347697312213
Jarrett Allen,allenja01,2021,3134,1514,-.0303118558221152,2.602629390451263,2.572317534629148,-.7129488929578903,-.8100777435744894,-1.52302663653238,-.1371548260258263,2.065553455799552,1.928398629773725,3.580492239365067,3.580492239365067,0,-.2385564805450565,1.314661040575277,1.07610456003022,-.1731750577806635
Al-Farouq Aminu,aminual01,2021,803,391,-3.718626932966439,2.87459734722405,-.844029585742389,-2.050877091074985,.6685350091815833,-1.382342081893402,-3.539814800525802,2.623487197098478,-.9163276034273231,.3678392827892196,.3678392827892196,0,-3.153590608943086,1.581812109743998,-1.571778499199087,.1704636810280241
Kyle Anderson,anderky01,2021,3378,1580,1.277556149705784,1.522466584195908,2.800022733901692,-3.037110878256289,.7719777111912467,-2.265133167065042,.4527384024093571,1.441391619298659,1.894130021708016,3.755826249018632,3.755826249018632,0,.4042700825232084,1.548376297020021,1.952646379543229,.3266234142676923
Giannis Antetokounmpo,antetgi01,2021,3710,1713,4.851145336565538,1.953429579875495,6.804574916441034,1.9161459448404,3.684712253984471,5.600858198824871,4.387424004660077,2.398940682753081,6.786364687413159,8.463289567736243,8.463289567736243,0,4.634450080728217,2.260702875892622,6.895152956620839,1.558905323920493
Kostas Antetokounmpo,antetko01,2021,125,53,-10.54089612489125,6.197799889700922,-4.343096235190331,-1.214961030308453,13.13382485170128,11.91886382139283,-9.22995440862592,7.930812857348934,-1.299141551276986,.039969179698399,.039969179698399,0,-8.397239325364886,2.843940613551347,-5.553298711813539,1.895724164763296
Thanasis Antetokounmpo,antetth01,2021,1096,494,-2.477533641462148,2.103376692813315,-.3741569486488334,-1.612300388774543,3.040646444547839,1.428346055773295,-2.494186901955354,2.384163426840264,-.1100234751150899,.6678299709043695,.6678299709043695,0,-1.863115682591961,1.2086195062423,-.6544961763496611,.3720512375122272
Carmelo Anthony,anthoca01,2021,3047,1471,.1159389027331251,-1.943346678235108,-1.827407775501982,-3.946710100547203,-3.39547070560347,-7.342180806150672,-.7893959845222257,-2.305176080026128,-3.094572064548354,-.2558189635103884,-.2558189635103884,0,-.3778412527843521,-3.175372792106417,-3.553214044890769,-1.086174734255366
Cole Anthony,anthoco01,2021,2012,969,-2.068503794240782,-1.866842742327411,-3.935346536568193,-2.310171947533225,-4.288004319739761,-6.598176267272985,-2.131307599624182,-2.451308024593828,-4.582615624218009,-.8973865932334857,-.8973865932334857,0,-2.798605063811132,-2.111389164353397,-4.909994228164528,-.9609725738493412
OG Anunoby,anunoog01,2021,2770,1327,-.1872929285146252,2.032005126237705,1.84471219772308,1.350316287693391,2.890643933976725,4.240960221670116,.1101727647263775,2.347923319858358,2.458096084584735,3.53587017056678,3.53587017056678,0,.2105048090057394,2.39850940203645,2.60901421104219,.2805681679298858
Ryan Arcidiacono,arcidry01,2021,803,389,-.0417268401156108,.3933795885955975,.3516527484799867,-4.024179971433966,2.046543913898627,-1.977636057535339,-.8572846755907624,.7715480842344742,-.0857365913562883,.5234075745273593,.5234075745273593,0,-.9883035054338647,.6136091014668856,-.3746944039669791,-1.023355100865481
Trevor Ariza,arizatr01,2021,1170,575,-1.972232847527947,2.048749839687264,.076516992159317,1.833124394366564,.6272148470038587,2.460339241370423,-1.284403889353348,1.855887393653976,.5714835043006277,.9705293382234381,.9705293382234381,0,-1.66533782595809,1.543332740272297,-.1220050856857937,-.4015341414362473
D.J. Augustin,augusdj01,2021,2075,981,.6843266411277873,-2.440392861303472,-1.756066220175684,.7806861523314449,-1.057880582032403,-.2771944297009579,.7458912511211593,-2.337380471041229,-1.59148921992007,.5670500414396488,.5670500414396488,0,.5083581529971466,-3.042185714867269,-2.533827561870122,-.8781758730579053
Deni Avdija,avdijde01,2021,2783,1257,-2.500548140667334,.4324038300159281,-2.068144310651406,-.2873112827829297,.4864228935129326,.1991116107300028,-2.191464386526279,.4941879770596592,-1.69727640946662,.6751646389482174,.6751646389482174,0,-2.306006124247123,1.08537051535486,-1.220635608892263,.0045541116669331
Deandre Ayton,aytonde01,2021,3846,1877,-1.290716741658069,2.65358029688895,1.362863555230881,4.388274766280316,-3.918068920972898,.4702058453074178,-.2231197328651925,1.411675600574994,1.188555867709801,3.742473154388631,3.742473154388631,0,-.1868832515030834,1.10146334342912,.9145800919260365,-.7829334764839014
Udoka Azubuike,azubuud01,2021,107,49,-6.212277092275188,-3.02582228175301,-9.238099374028197,-28.33708421119963,-11.71733459909808,-40.05441881029772,-11.321157234363,-5.135830274539677,-16.45698750890268,-.3438731750363517,-.3438731750363517,0,-9.06710520894829,-4.699956219908623,-13.76706142885691,.3537033566080936
